,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,DISK SIZE,Price
130,HP,Windows,DDR4,16,AMD,AMD,1,15.6,512,75990.0
131,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
132,Lenovo,Windows,DDR4,8,Intel,Others,2,,256,36990.0
133,HP,Windows,DDR4,16,Intel,Others,1,14.0,512,78800.0
134,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,29390.0
135,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
136,Infinix,Windows,Others,8,Intel,Others,1,14.0,256,30990.0
137,Lenovo,Windows,DDR4,16,Intel,Others,2,,512,62490.0
138,ASUS,Windows,DDR4,16,Intel,Others,1,,512,89990.0
139,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
140,HP,Windows,DDR4,8,Intel,Others,1,15.6,512,58899.0
141,MSI,Windows,DDR4,16,Intel,Others,2,,512,85990.0
142,DELL,Windows,DDR4,8,AMD,Others,1,14.0,1024,33099.0
143,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
144,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,512,73490.0
145,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,1024,63490.0
146,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
147,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
148,ASUS,Windows,DDR4,8,AMD,AMD,1,14.0,512,38990.0
149,HP,Windows,DDR4,8,Intel,Others,1,15.6,512,67990.0
150,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
151,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
152,HP,Windows,DDR4,8,Intel,Others,1,15.6,512,39790.0
153,APPLE,Mac,,16,Others,Others,1,15.6,1024,241990.0
154,APPLE,Mac,DDR4,8,Others,Others,1,14.0,512,104990.0
155,DELL,Windows,DDR4,8,AMD,AMD,1,,512,42190.0
156,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
157,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
158,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,512,39990.0
159,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,1024,99990.0
160,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
161,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
162,APPLE,Mac,,32,Others,Others,1,15.6,1024,309490.0
163,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,1024,64990.0
164,ASUS,Windows,DDR4,16,AMD,AMD,1,,512,89990.0
165,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,512,85990.0
166,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
167,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
168,APPLE,Mac,,16,Others,Others,1,14.0,1024,222990.0
169,Others,Others,Others,4,Intel,Intel,1,14.0,128,15990.0
170,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
171,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
172,DELL,Windows,DDR4,8,Intel,Others,1,15.6,1024,45900.0
173,ASUS,Windows,Others,16,Intel,Others,1,,512,79990.0
174,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,512,56990.0
175,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,256,34990.0
176,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
177,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
178,DELL,Windows,DDR4,8,Intel,Others,1,15.6,512,43580.0
179,Lenovo,Windows,DDR4,16,AMD,AMD,2,14.0,512,74990.0
180,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
181,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
182,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,37490.0
183,Infinix,Windows,Others,4,Intel,Intel,1,14.0,128,20990.0
184,MSI,Windows,DDR4,16,Intel,Others,2,15.6,512,109990.0
185,ASUS,Windows,Others,16,Intel,Others,1,,512,71990.0
186,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
187,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
188,Infinix,Windows,Others,8,Intel,Others,1,14.0,512,32990.0
189,MSI,Windows,DDR4,8,AMD,AMD,1,14.0,512,43990.0
190,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,512,73490.0
191,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
192,acer,Windows,DDR4,8,AMD,AMD,1,14.0,256,25990.0
193,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,1024,122990.0
194,acer,Windows,DDR4,16,Intel,Others,1,,512,68990.0
195,acer,Windows,DDR4,8,Intel,Others,1,,512,59990.0
196,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
197,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
198,acer,Windows,DDR4,8,AMD,AMD,1,15.6,512,39990.0
199,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,1024,37990.0
200,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
201,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
202,Lenovo,Windows,DDR4,4,Intel,Others,1,14.0,256,25950.0
203,Others,Windows,Others,16,Intel,Others,1,14.0,512,64999.0
204,HP,Windows,DDR4,8,AMD,AMD,1,,512,60990.0
205,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,36990.0
206,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
207,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
208,Others,Windows,Others,8,Intel,Others,1,,256,59990.0
209,APPLE,Mac,,16,Others,Others,1,15.6,512,222990.0
210,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
211,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
212,DELL,Windows,DDR5,16,Intel,Others,1,,1024,235283.0
213,DELL,Windows,DDR4,8,Intel,Others,1,,512,38990.0
214,ASUS,Windows,DDR4,16,AMD,AMD,1,,512,67990.0
215,MSI,Windows,DDR4,16,Intel,Others,2,,512,79990.0
216,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
217,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
218,ASUS,Windows,DDR4,16,AMD,AMD,1,,512,67990.0
219,MSI,Windows,DDR4,16,Intel,Others,2,,512,79990.0
220,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
221,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
222,ASUS,Windows,Others,16,Intel,Others,1,,512,89990.0
223,ASUS,Windows,DDR5,32,Intel,Others,1,,1024,241990.0
